Countries,Cases
CA,494.60677641444454
BZ,22.734727946501938
BS,93.80377544023082
CR,109.78220573843578
CU,30.563275936083286
DO,189.42899179631533
GL,0.0
GT,5.272467168911846
HT,2.6561788918775817
HN,38.240162076692314
JM,20.524231332150002
MX,19.269539850671766
NI,1.0184683966710342
PR,0.0
PA,591.583211177947
SV,9.603048926281708
TT,80.1526717557252
US,1167.6609135180413
BO,0.0
AR,37.98249500703727
BR,61.19072522099294
CL,290.0304167517232
CO,34.59379555566345
EC,257.11754828296324
FK,0.0
GY,40.13994597940173
PE,86.67557474519462
SR,20.778486785921327
PY,16.152883468381447
UY,116.18649592402892
VE,0.0
AF,12.922535211267606
AE,432.63600994562665
AM,280.7545928485435
AZ,77.80380138935014
BD,0.7882044473916883
BN,0.0
BT,7.234413817151638
CN,61.75422011636418
-99,0.0
CY,874.6520201640208
GE,40.729605895567126
ID,10.36743755258686
IN,3.6712771538798195
IR,0.0
IL,1230.9051756493668
IQ,33.120002184442434
JO,55.02173437335448
JP,28.75383997342308
KZ,42.98858458267013
KG,39.766211496964054
KH,7.865164585813188
KR,0.0
KW,247.10552111767498
LA,0.0
LB,134.67443513285096
LK,8.347092358372937
MM,0.0
MN,4.932357647225944
MY,147.4967606514885
NP,0.31508879359747977
OM,96.83784926354961
PK,21.36823073699249
PH,37.35585729584848
KP,0.0
PS,0.0
SA,90.80884466294808
QA,1500
SY,0.0
TH,33.684639849748294
TJ,0.0
TM,0.0
TL,0.8836951181146895
TR,393.4222231203058
TW,16.235499533457904
UZ,16.554368040260222
VN,0.0
YE,0.0
AO,1.2500690467825057
BI,0.3337749918197312
BJ,2.957290357686544
BF,23.116641492390055
BW,3.0137487216682506
CF,1.7732508653464223
CI,0.0
CD,0.0
CM,34.852985287961666
CG,0.0
DZ,41.634740846998675
DJ,174.4000155022236
EG,15.91182413308332
ER,5.4894772034407335
ET,0.5162057031860849
GA,15.841657354192396
GH,8.979336825624006
GN,12.726219741051255
GM,2.243544621017638
GW,11.734304064502165
GQ,24.588828680409772
KE,4.050994119084664
LR,4.06765084447337
LY,3.010886414468482
LS,0.0
MA,32.129100232580264
ML,3.7104324809048905
MG,3.9702606175905015
MR,1.917247752506322
MZ,0.46148284220637165
MW,0.3504170769174595
NA,7.5877391619816335
NE,16.529193430240138
NG,1.5948633071474199
RW,10.025510627900596
EH,1500
SD,0.4624951148953489
SS,0.09411608805350613
SN,16.48239807514763
SL,0.9316693511683832
-99,0.0
SO,0.711959712844272
TD,0.8713155936060152
SZ,8.897485837426919
TG,9.63474835117063
TN,56.8358509104083
TZ,0.0
UG,1.6064476382408435
ZA,34.371344540742875
ZW,0.7924181432058068
ZM,3.2876047186400443
AU,272.6378157821505
FJ,14.819205690574986
NC,0.0
NZ,262.494725185111
PG,0.3301821301138815
SB,0.0
VU,0.0
AL,103.58699507865605
AT,1497.7562887311651
BE,1500
BG,76.20039565910358
BA,146.09571133221516
BY,72.54988919040852
CZ,472.1940198419413
CH,1500
DE,1255.6091808262088
DK,886.2814539015473
ES,1500
EE,852.7202777343807
FI,414.45448095575944
FR,1500
GB,839.6614307282131
GR,163.44696327649416
HR,272.19618439754544
HU,75.10905956592617
IE,1276.170536733917
IS,1500
IT,1500
-99,0.0
LT,237.11886236951784
LU,1500
LV,242.88562462161153
MD,0.0
MK,275.7996011066822
ME,346.6333422595138
NL,1132.2087300914532
NO,1254.1953529549505
PL,114.67425327065236
PT,1095.4504346500778
RO,182.6208920371124
RU,45.2937983335724
RS,298.12968343099567
SI,509.0512401704749
SK,97.74766677783785
SE,795.3948777938575
UA,28.86189495736306
